                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 1.3826,                0.80828,                0.88584,                0.70575,                 0.7062,                0.74453,                0.37398,                  1.456,                0.89472,                0.89049,              0.0085249,              0.0085249,              0.0085249
                    151,                 1.4167,                0.81061,                0.88952,                0.56788,                0.62572,                0.60844,                0.27212,                 1.7122,                 1.0549,                0.95213,               0.008515,               0.008515,               0.008515
                    152,                 1.3547,                0.80287,                0.88424,                0.64622,                0.64098,                0.64797,                0.32978,                 1.5117,                0.92973,                0.91834,              0.0085051,              0.0085051,              0.0085051
                    153,                  1.383,                0.80002,                0.88702,                  0.504,                 0.5776,                0.48508,                  0.241,                 1.7331,                 1.1069,                0.97729,              0.0084952,              0.0084952,              0.0084952
                    154,                 1.3634,                 0.7688,                 0.8838,                0.80732,                0.78221,                 0.8354,                0.44204,                 1.3458,                0.71322,                 0.8824,              0.0084853,              0.0084853,              0.0084853
                    155,                 1.3815,                0.78813,                0.88874,                0.60931,                0.66701,                 0.6251,                 0.3164,                 1.6235,                0.97324,                0.93487,              0.0084754,              0.0084754,              0.0084754
                    156,                 1.3954,                0.81617,                0.89042,                0.80212,                0.64068,                0.74805,                0.39535,                  1.458,                0.80215,                0.89623,              0.0084655,              0.0084655,              0.0084655
                    157,                 1.4015,                0.79331,                0.88621,                 0.7625,                 0.7536,                0.81976,                 0.4531,                 1.3255,                0.71402,                0.87778,              0.0084556,              0.0084556,              0.0084556
                    158,                 1.3614,                 0.7799,                0.87853,                0.66765,                0.59834,                0.64333,                0.31631,                 1.5623,                0.93595,                0.92299,              0.0084457,              0.0084457,              0.0084457
                    159,                  1.402,                 0.7936,                0.88162,                0.67995,                0.55905,                 0.6273,                0.30383,                  1.545,                0.88489,                0.91547,              0.0084358,              0.0084358,              0.0084358
                    160,                 1.3696,                0.77655,                0.88184,                0.51433,                0.42548,                0.37273,                0.16887,                 1.9684,                 1.2932,                 1.0324,              0.0084259,              0.0084259,              0.0084259
                    161,                 1.3604,                0.77125,                0.88427,                0.63806,                0.66556,                0.69223,                0.31102,                 1.6921,                0.89558,                0.93361,               0.008416,               0.008416,               0.008416
                    162,                 1.3808,                0.77363,                0.89074,                0.78133,                0.73673,                0.82621,                0.44341,                 1.3476,                0.70266,                 0.8848,              0.0084061,              0.0084061,              0.0084061
                    163,                 1.3487,                0.76484,                0.87637,                0.46679,                0.63108,                0.52204,                 0.2352,                 1.6339,                 1.0313,                0.95162,              0.0083962,              0.0083962,              0.0083962
                    164,                 1.3613,                0.77183,                0.88443,                0.52709,                0.68189,                0.61044,                0.28826,                 1.5938,                0.94218,                0.93669,              0.0083863,              0.0083863,              0.0083863
                    165,                 1.3232,                0.76061,                0.87566,                0.64537,                 0.6622,                 0.6789,                0.34709,                 1.4837,                0.87011,                0.90964,              0.0083764,              0.0083764,              0.0083764
                    166,                 1.3237,                0.75126,                0.88093,                0.73737,                0.73451,                0.76184,                0.40184,                 1.4044,                0.77376,                0.89142,              0.0083665,              0.0083665,              0.0083665
                    167,                 1.3618,                0.77497,                0.88499,                0.81665,                0.77137,                0.84095,                0.48219,                 1.3569,                0.71389,                0.88306,              0.0083566,              0.0083566,              0.0083566
                    168,                 1.3439,                0.76391,                0.87912,                0.79375,                0.82015,                0.86993,                0.52274,                 1.2636,                0.64856,                0.86681,              0.0083467,              0.0083467,              0.0083467
                    169,                   1.35,                0.77142,                0.87922,                0.76891,                0.74435,                0.80135,                0.43188,                 1.3349,                0.74406,                0.87926,              0.0083368,              0.0083368,              0.0083368
                    170,                  1.355,                0.76443,                0.88503,                 0.8388,                0.74015,                0.82699,                0.45852,                 1.4015,                0.72165,                0.88696,              0.0083269,              0.0083269,              0.0083269
                    171,                 1.3638,                0.76414,                0.88136,                0.75988,                0.85879,                 0.8783,                0.50368,                 1.2837,                0.65265,                0.87125,               0.008317,               0.008317,               0.008317
                    172,                 1.3243,                0.74248,                0.87356,                0.74794,                0.65557,                0.75664,                 0.3855,                 1.4639,                0.83434,                0.90242,              0.0083071,              0.0083071,              0.0083071
                    173,                 1.3588,                0.76188,                0.87966,                0.82921,                0.74507,                0.83376,                0.48003,                 1.3281,                0.70366,                0.88283,              0.0082972,              0.0082972,              0.0082972
                    174,                 1.3757,                0.77989,                0.88382,                0.72968,                 0.6702,                0.75311,                0.39281,                 1.5283,                0.82999,                0.91036,              0.0082873,              0.0082873,              0.0082873
                    175,                 1.3442,                0.78528,                0.88588,                0.56165,                0.61984,                 0.5837,                0.29148,                 1.6657,                 1.0333,                0.94419,              0.0082774,              0.0082774,              0.0082774
                    176,                 1.3155,                0.75446,                0.88262,                0.46621,                0.53225,                 0.4277,                0.17668,                 1.9191,                 1.2657,                 1.0003,              0.0082675,              0.0082675,              0.0082675
                    177,                 1.3209,                0.75089,                0.87697,                0.64352,                0.67526,                0.66782,                0.33884,                 1.5309,                0.90734,                0.91492,              0.0082576,              0.0082576,              0.0082576
                    178,                 1.3227,                0.74209,                0.87789,                 0.7547,                0.83249,                0.87784,                0.51324,                 1.3276,                0.66397,                0.87803,              0.0082477,              0.0082477,              0.0082477
                    179,                 1.3256,                 0.7519,                0.88571,                0.50244,                0.53847,                0.49993,                0.22784,                 1.8266,                 1.1887,                0.98669,              0.0082378,              0.0082378,              0.0082378
                    180,                 1.3336,                0.75376,                0.87526,                0.76966,                0.89112,                0.88157,                0.52076,                 1.2426,                0.62742,                0.86876,              0.0082279,              0.0082279,              0.0082279
                    181,                  1.298,                0.73401,                0.87522,                0.83018,                0.84715,                0.87728,                0.51801,                 1.2314,                0.64236,                0.86613,               0.008218,               0.008218,               0.008218
                    182,                   1.31,                0.72738,                0.87749,                0.73237,                0.68782,                0.72343,                0.38076,                 1.3812,                0.77784,                0.89167,              0.0082081,              0.0082081,              0.0082081
                    183,                 1.3219,                  0.741,                0.87371,                0.60793,                0.66623,                0.62442,                0.31294,                 1.5698,                0.88747,                0.92034,              0.0081982,              0.0081982,              0.0081982
                    184,                 1.3226,                0.74071,                0.87502,                0.42627,                0.53204,                0.44566,                0.20265,                 1.7777,                 1.1577,                0.99577,              0.0081883,              0.0081883,              0.0081883
                    185,                   1.31,                0.72467,                0.86923,                 0.6106,                0.61742,                0.62447,                0.31884,                 1.5285,                0.89591,                0.91697,              0.0081784,              0.0081784,              0.0081784
                    186,                 1.3168,                0.74969,                 0.8759,                0.43233,                0.46326,                0.38353,                0.17465,                 2.0103,                 1.2389,                 1.0261,              0.0081685,              0.0081685,              0.0081685
                    187,                 1.2955,                0.74019,                0.86575,                0.68873,                0.71008,                 0.7345,                0.37726,                 1.5058,                0.85524,                0.91035,              0.0081586,              0.0081586,              0.0081586
                    188,                 1.2994,                0.72726,                0.86914,                0.69591,                0.70898,                0.75619,                0.39993,                 1.4112,                0.83787,                 0.9019,              0.0081487,              0.0081487,              0.0081487
